### network-ip-brief
### Comando: ip -br addr

lo               UNKNOWN        127.0.0.1/8 ::1/128 
nic0             UP             
wlp3s0           DOWN           
vmbr0            UP             192.168.1.200/24 fe80::6d4:c4ff:feea:abf8/64 
vmbr10           UP             10.10.10.1/24 fe80::5497:a2ff:fe50:80b4/64 
veth100i0@if2    UP             
fwbr100i0        UP             
fwpr100p0@fwln100i0 UP             
fwln100i0@fwpr100p0 UP             
veth100i1@if3    UP             
fwbr100i1        UP             
fwpr100p1@fwln100i1 UP             
fwln100i1@fwpr100p1 UP             
veth103i0@if2    UP             
fwbr103i0        UP             
fwpr103p0@fwln103i0 UP             
fwln103i0@fwpr103p0 UP             
veth105i0@if2    UP             
fwbr105i0        UP             
fwpr105p0@fwln105i0 UP             
fwln105i0@fwpr105p0 UP             
veth101i0@if2    UP             
fwbr101i0        UP             
fwpr101p0@fwln101i0 UP             
fwln101i0@fwpr101p0 UP             
veth102i0@if2    UP             
fwbr102i0        UP             
fwpr102p0@fwln102i0 UP             
fwln102i0@fwpr102p0 UP             
veth112i0@if2    UP             
fwbr112i0        UP             
fwpr112p0@fwln112i0 UP             
fwln112i0@fwpr112p0 UP             
tap104i0         UNKNOWN        
fwbr104i0        UP             
fwpr104p0@fwln104i0 UP             
fwln104i0@fwpr104p0 UP             
veth107i0@if2    UP             
veth108i0@if2    UP             
veth106i0@if2    UP             
veth110i0@if2    UP             
veth111i0@if2    UP             
veth113i0@if2    UP             
fwbr108i0        UP             
fwpr108p0@fwln108i0 UP             
fwln108i0@fwpr108p0 UP             
fwbr107i0        UP             
fwbr106i0        UP             
fwpr107p0@fwln107i0 UP             
fwln107i0@fwpr107p0 UP             
fwpr106p0@fwln106i0 UP             
fwln106i0@fwpr106p0 UP             
fwbr110i0        UP             
fwpr110p0@fwln110i0 UP             
fwln110i0@fwpr110p0 UP             
fwbr113i0        UP             
fwbr111i0        UP             
fwpr113p0@fwln113i0 UP             
fwln113i0@fwpr113p0 UP             
fwpr111p0@fwln111i0 UP             
fwln111i0@fwpr111p0 UP             
veth114i0@if2    UP             
fwbr114i0        UP             
fwpr114p0@fwln114i0 UP             
fwln114i0@fwpr114p0 UP             
veth115i0@if2    UP             
fwbr115i0        UP             
fwpr115p0@fwln115i0 UP             
fwln115i0@fwpr115p0 UP             
tap109i0         UNKNOWN        
fwbr109i0        UP             
fwpr109p0@fwln109i0 UP             
fwln109i0@fwpr109p0 UP             
